Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [SUSHI FUJI],Price [SUSHI FUJI],In stock [SUSHI FUJI],Low stock [SUSHI FUJI]
soja-choco-banane,10040,Soja choco-banane,MAKI ( 6 PIÈCES ),<p>( nutella banane poudre coco )</p>,N,,,,,,,0.00,,,,N,Y,5.20,,
soja-roll-mangue,10118,Soja Roll mangue,SPÉCIAL ROLL ( 8 PIÈCES ),<p>( feuille soja tempura-crevette avocat mangue masago spicy-mayo )</p>,N,,,,,,,0.00,,,,N,Y,10.90,,
soupe-miso-au-tofu,10144,Soupe miso au tofu,POTAGE,,N,,,,,,,0.00,,,,N,Y,3.00,,
soya-cheese-saumon,10041,Soya cheese saumon,MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,5.50,,
soya-saumon-avocat,10042,Soya saumon avocat,MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,5.50,,
spicy-saumon-roll,10119,Spicy saumon roll,SPÉCIAL ROLL ( 8 PIÈCES ),<p>( saumon concombre avocat takuan wakame mayo-spicy )</p>,N,,,,,,,0.00,,,,N,Y,10.90,,
st-jacque-grillé,10060,St-jacque grillé,SPRING ROLLS ( 6 PIÈCES),,N,,,,,,,0.00,,,,N,Y,8.00,,
st-jacque-mi-cuit-(par-2),10013,St-Jacque mi-cuit (par 2),SUSHI ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,5.00,,
surimi,10015,Surimi,SUSHI ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,2.00,,
surimi-1,10046,Surimi,MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,4.20,,
surimi-2,10132,Surimi,TULIPE ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,2.00,,
surimi-avocat,10102,Surimi avocat,CALIFORNIA ROLLS ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,5.50,,
takuan-(-pickle-de-radis-japonais-),10033,Takuan ( pickle de radis Japonais ),MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,4.00,,
tamago-(omelette),10011,Tamago (omelette),SUSHI ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,1.90,,
tartare-saumon,10003,Tartare saumon,GUNKAN ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,2.50,,
tartare-saumon-mangue,10021,Tartare saumon mangue,GUNKAN ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,2.60,,
tartare-thon,10018,Tartare thon,GUNKAN ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,2.70,,
tartare-thon-mangue,10022,Tartare thon mangue,GUNKAN ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,2.80,,
tempura-crevette,10010,Tempura crevette,SUSHI ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,2.50,,
tempura-crevette-1,10045,Tempura crevette,MAKI ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,4.80,,
tempura-crevette-avocat,10071,Tempura crevette avocat,SPRING ROLLS ( 6 PIÈCES),,N,,,,,,,0.00,,,,N,Y,6.60,,
tempura-crevette-avocat-1,10096,Tempura crevette avocat,CALIFORNIA ROLLS ( 6 PIÈCES ),,N,,,,,,,0.00,,,,N,Y,6.40,,
tempura-crevette-cheese,10070,Tempura crevette cheese,SPRING ROLLS ( 6 PIÈCES),,N,,,,,,,0.00,,,,N,Y,6.60,,
